,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,PREDATOR STRAIN,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,PREDATOR HUNTER,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Zone,,Health,Constitution,,Durable,Armor,OnDeath,%toMain,MainCap,ExTarget,ExMult,ExVerif,
,,,main,,175,0,,0%,0,Fatal,-,-,Main,100%,Outer,No
,,,head,,40,0,,0%,0,Fatal,100%,Yes,Main,100%,Outer,
,,,legs (4),,60,0,,0%,0,-,50%,No,Main,100%,Outer,
,,,claws (2),,60,0,,0%,0,-,40%,No,Main,100%,Outer,
,,,wings (2),,20,0,,0%,0,-,30%,No,Main,100%,Outer,
,,,,,,,,,,,,,,,,
,,,Status,Min,Max,Damage,,ReactEvent,Threshold,Interrupt?,Stagger?,Duration,,,,
,,,electricity,-,-,100%,,light,1,No,No,0.5,,,,
,,,fire,1.0,2.0,70%,,medium,-,-,-,-,,,,
,,,gas,0.5,0.5,100%,,heavy,-,-,-,-,,,,
,,,thermite,0.5,1.0,100%,,massive,15,Yes,Yes,0.85,,,,
,,,stun,2.0,3.0,-,,,,,,,,,,
,,,confusion,0.5,0.5,-,,,,,,,,,,
,,,acid storm,0.5,1.0,-,,,,,,,,,,
,,,,,,,,,,,,,,,,
,PREDATOR STALKER,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Zone,,Health,Constitution,,Durable,Armor,OnDeath,%toMain,MainCap,ExTarget,ExMult,ExVerif,
,,,main,,650,0,,50%,1,Fatal,-,-,Main,100%,Outer,No
,,,left legs (2),,200,0,,50%,1,-,100%,Yes,Main,100%,None,
,,,right legs (2),,200,0,,50%,1,-,70%,No,Main,100%,None,
,,,claws (2),,200,0,,50%,1,-,70%,No,Main,100%,None,
,,,body armor,,Main,0,,50%,2,-,100%,No,Main,100%,None,
,,,head,,175,0,,0%,1,Fatal,100%,Yes,Main,100%,None,
,,,belly,,Main,0,,50%,1,-,100%,No,Main,100%,None,
,,,wings,,125,0,,50%,0,-,30%,Yes,Main,100%,Outer,
,,,,,,,,,,,,,,,,
,,,Status,Min,Max,Damage,,ReactEvent,Threshold,Interrupt?,Stagger?,Duration,,,,
,,,electricity,-,-,100%,,light,1,No,No,0.5,,,,
,,,fire,3.0,5.0,125%,,medium,-,-,-,-,,,,
,,,gas,1.0,1.0,100%,,heavy,22,No,No,0.5,,,,
,,,thermite,0.5,1.0,100%,,massive,30,Yes,Yes,1,,,,
,,,stun,7.0,9.0,-,,,,,,,,,,
,,,confusion,1.0,1.0,-,,,,,,,,,,
,,,acid storm,0.5,1.0,-,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,SPORE BURST STRAIN,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,SPORE BURST SCAVENGER,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Zone,,Health,Constitution,,Durable,Armor,OnDeath,%toMain,MainCap,ExTarget,ExMult,ExVerif,
,,,main,,60,0,,0%,0,Fatal,-,-,-,100%,Outer,
,,,head,,20,0,,0%,0,Fatal,100%,Yes,Main,100%,Outer,
,,,limbs (2),,30,0,,0%,0,Fatal,30%,Yes,Main,100%,Outer,
,,,,,,,,,,,,,,,,
,,,Status,Min,Max,Damage,,ReactEvent,Threshold,Interrupt?,Stagger?,Duration,,,,
,,,electricity,-,-,100%,,light,-,-,-,-,,,,
,,,fire,0.5,1,50%,,medium,-,-,-,-,,,,
,,,gas,0.5,0.5,100%,,heavy,-,-,-,-,,,,
,,,thermite,0.5,1,100%,,massive,1,Yes,Yes,1.6,,,,
,,,stun,0.5,1,-,,,,,,,,,,
,,,confusion,0.5,0.5,-,,,,,,,,,,
,,,acid storm,0.5,1,-,,,,,,,,,,
,,,,,,,,,,,,,,,,
,SPORE BURST HUNTER,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Zone,,Health,Constitution,,Durable,Armor,OnDeath,%toMain,MainCap,ExTarget,ExMult,ExVerif,
,,,main,,160,0,,35%,0,Fatal,-,-,Main,100%,Outer,No
,,,head,,40,0,,0%,0,Fatal,100%,Yes,Main,100%,Outer,
,,,legs (4),,60,0,,25%,0,-,50%,No,Main,100%,Outer,
,,,claws (2),,60,0,,0%,0,-,40%,No,Main,100%,Outer,
,,,wings (2),,20,0,,0%,0,-,30%,No,Main,100%,Outer,
,,,,,,,,,,,,,,,,
,,,Status,Min,Max,Damage,,ReactEvent,Threshold,Interrupt?,Stagger?,Duration,,,,
,,,electricity,-,-,100%,,light,1,No,No,0.5,,,,
,,,fire,1.0,2.0,70%,,medium,-,-,-,-,,,,
,,,gas,0.5,0.5,100%,,heavy,-,-,-,-,,,,
,,,thermite,0.5,1.0,100%,,massive,15,Yes,Yes,0.85,,,,
,,,stun,2.0,3.0,-,,,,,,,,,,
,,,confusion,0.5,0.5,-,,,,,,,,,,
,,,acid storm,0.5,1.0,-,,,,,,,,,,
,,,,,,,,,,,,,,,,
,SPORE BURST WARRIOR,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Zone,,Health,Constitution,,Durable,Armor,OnDeath,%toMain,MainCap,ExTarget,ExMult,ExVerif,
,,,main,,325,0,,50%,1,Fatal,-,-,Main,100%,Outer,No
,,,face,,150,200 [65/s],,40%,1,Fatal,100%,No,Main,100%,Outer,
,,,legs (4),,100,0,,35%,1,-,40%,No,Main,100%,None,
,,,claws (2),,100,0,,25%,1,-,40%,No,Main,100%,Outer,
,,,,,,,,,,,,,,,,
,,,Status,Min,Max,Damage,,ReactEvent,Threshold,Interrupt?,Stagger?,Duration,,,,
,,,electricity,-,-,100%,,light,1,No,No,0.5,,,,
,,,fire,2.1,3.3,80%,,medium,-,-,-,-,,,,
,,,gas,0.5,0.5,100%,,heavy,20,Yes,Yes,0.85,,,,
,,,thermite,0.5,1.0,100%,,massive,25,Yes,Yes,0.85,,,,
,,,stun,2.0,3.0,-,,,,,,,,,,
,,,confusion,0.5,0.5,-,,,,,,,,,,
,,,acid storm,0.5,1.0,-,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,RUPTURE STRAIN,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,RUPTURE WARRIOR,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Zone,,Health,Constitution,,Durable,Armor,OnDeath,%toMain,MainCap,ExTarget,ExMult,ExVerif,
,,,main,,250,0,,20%,1,Fatal,-,-,Main,100%,Outer,No
,,,face,,110,160 [70/s],,20%,3,Fatal,100%,No,Main,100%,Outer,
,,,legs (4),,75,0,,0%,1,-,40%,No,Main,100%,None,
,,,claws (2),,75,0,,0%,3,-,40%,No,Main,100%,Outer,
,,,,,,,,,,,,,,,,
,,,Status,Min,Max,Damage,,ReactEvent,Threshold,Interrupt?,Stagger?,Duration,,,,
,,,electricity,-,-,100%,,light,1,No,No,0.5,,,,
,,,fire,2.1,3.3,80%,,medium,-,-,-,-,,,,
,,,gas,0.5,0.5,100%,,heavy,20,Yes,Yes,0.85,,,,
,,,thermite,0.5,1.0,100%,,massive,25,Yes,Yes,0.85,,,,
,,,stun,2.0,3.0,-,,,,,,,,,,
,,,confusion,0.5,0.5,-,,,,,,,,,,
,,,acid storm,0.5,1.0,-,,,,,,,,,,
,,,,,,,,,,,,,,,,
,RUPTURE SPEWER,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Zone,,Health,Constitution,,Durable,Armor,OnDeath,%toMain,MainCap,ExTarget,ExMult,ExVerif,
,,,main,,750,0,,50%,2,Fatal,-,-,Main,100%,Outer,No
,,,head,,300,0,,0%,3,Fatal,100%,Yes,Main,100%,Outer,No
,,,mouth,,250,0,,0%,0,Fatal,100%,Yes,Main,100%,Outer,
,,,butt,,750,0,,100%,0,Fatal,60%,Yes,Part,100%,Outer,
,,,butt plates,,500,0,,80%,2,Fatal,20%,Yes,Part,100%,Outer,
,,,front legs (2),,200,0,,0%,3,-,50%,No,Main,100%,Outer,
,,,back legs (2),,250,0,,30%,2,-,50%,No,Main,100%,Outer,
,,,,,,,,,,,,,,,,
,,,Status,Min,Max,Damage,,ReactEvent,Threshold,Interrupt?,Stagger?,Duration,,,,
,,,electricity,-,-,100%,,light,1,No,No,0.5,,,,
,,,fire,5.0,6.5,100%,,medium,20,No,No,0.5,,,,
,,,gas,1.0,1.0,100%,,heavy,-,-,-,-,,,,
,,,thermite,0.5,1.0,100%,,massive,30,Yes,Yes,0.5,,,,
,,,stun,8.0,10.0,-,,,,,,,,,,
,,,confusion,1.0,1.0,-,,,,,,,,,,
,,,acid storm,0.5,1.0,-,,,,,,,,,,
,,,,,,,,,,,,,,,,
,RUPTURE CHARGER,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Zone,,Health,Constitution,,Durable,Armor,OnDeath,%toMain,MainCap,ExTarget,ExMult,ExVerif,
,,,main,,2400,0,,100%,4,Fatal,-,-,Main,75%,Outer,No
,,,head,,1200,0,,75%,5,Fatal,70%,No,Part,75%,All,
,,,butt,,950,0,,80%,0,Downs,150%,No,Part,75%,All,
,,,rear armor plates,,2200,0,,75%,4,Fatal,75%,No,Main,75%,Outer,
,,,underside,,Main,0,,100%,2,Fatal,100%,No,Main,75%,Outer,
,,,torso armor (2),,800,0,,85%,4,-,100%,No,Part,75%,All,
,,,inner flesh,,Main,0,,30%,1,Fatal,300%,No,Main,75%,Outer,
,,,front legs joint (2),,800,0,,70%,4,-,60%,No,Part,75%,All,
,,,front legs armor (2),,800,0,,70%,5,-,60%,No,Part,75%,All,
,,,back legs (2),,800,0,,70%,4,-,50%,No,Part,75%,All,
,,,legs flesh (4),,800,0,,70%,2,Fatal,50%,No,Part,75%,All,
,,,claws (2),,500,0,,70%,4,-,70%,No,Main,75%,Outer,
,,,,,,,,,,,,,,,,
,,,Status,Min,Max,Damage,,ReactEvent,Threshold,Interrupt?,Stagger?,Duration,,,,
,,,electricity,-,-,100%,,light,1,No,No,0.5,,,,
,,,fire,8.5,12.0,150%,,medium,15,No,No,0.5,,,,
,,,gas,3.0,3.0,100%,,heavy,30,No,No,0.5,,,,
,,,thermite,0.5,1.0,100%,,massive,38,Yes,Yes,2,,,,
,,,stun,10.0,15.0,-,,,,,,,,,,
,,,confusion,3.0,3.0,-,,,,,,,,,,
,,,acid storm,0.5,1.0,-,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,STRUCTURES,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,BUG NEST,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Zone,,Demolition,Constitution,,Durable,Armor,OnDeath,%toMain,MainCap,ExTarget,ExMult,ExVerif,
,,,Inner,,20💥,-,-,-,-,-,-,-,-,-,-,
,,,Outer,,40,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,BILE TITAN NEST,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Zone,,Demolition,Constitution,,Durable,Armor,OnDeath,%toMain,MainCap,ExTarget,ExMult,ExVerif,
,,,Hole,,40💥,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,SHRIEKER NEST,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Zone,,Health,Constitution,,Durable,Armor,OnDeath,%toMain,MainCap,ExTarget,ExMult,ExVerif,
,,,main,,2500,0,,100%,2,Fatal,-,-,Main,100%,Outer,
,,,,,,,,,,,,,,,,
,,,Status,Min,Max,Damage,,,,,,,,,,
,,,electricity,-,-,100%,,,,,,,,,,
,,,fire,-,-,100%,,,,,,,,,,
,,,gas,-,-,100%,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,SPORE SPEWER,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Zone,,Health,Constitution,,Durable,Armor,OnDeath,%toMain,MainCap,ExTarget,ExMult,ExVerif,
,,,main,,2500,0,,100%,2,Fatal,-,-,Main,100%,Outer,
,,,,,,,,,,,,,,,,
,,,Status,Min,Max,Damage,,,,,,,,,,
,,,electricity,-,-,100%,,,,,,,,,,
,,,fire,-,-,100%,,,,,,,,,,
,,,gas,-,-,100%,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,INFESTED TOWER,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Zone,,Health,Constitution,,Durable,Armor,OnDeath,%toMain,MainCap,ExTarget,ExMult,ExVerif,
,,,main,,15000,0,,100%,2,Fatal,-,-,Main,100%,Outer,
,,,,,,,,,,,,,,,,
,,,Status,Min,Max,Damage,,,,,,,,,,
,,,electricity,-,-,100%,,,,,,,,,,
,,,fire,-,-,100%,,,,,,,,,,
,,,gas,-,-,100%,,,,,,,,,,
